,,,,,Turns,,,,,,,,,,,,,,,,
10,5,10,8,0,28,0,92,32,1,78,0,2,31,7,3,100,5,4,95,5, 
10,5,10,8,0,30,0,41,7,1,100,65,2,75,17,3,55,1,4,98,30, 
10,5,10,8,1,19,0,34,7,1,29,4,2,42,0,3,100,12,4,2,0, 
10,5,10,8,0,17,0,61,15,1,36,23,2,100,14,3,75,10,4,21,10, 
10,5,10,8,0,35,0,100,32,1,97,7,2,76,5,3,47,0,4,35,0, 
10,5,10,8,0,30,0,98,44,1,77,0,2,79,36,3,100,45,4,74,0, 
10,5,10,7,0,22,0,17,0,1,72,0,2,61,6,3,97,8,4,100,25, 
10,5,10,8,0,30,0,69,15,1,63,10,2,100,14,3,88,13,4,36,0, 
10,5,10,8,0,18,0,39,18,1,100,10,2,78,20,3,55,19,4,96,18, 
10,5,10,9,0,29,0,99,31,1,99,44,2,85,15,3,100,23,4,44,10, 
10,5,10,8,0,18,0,75,8,1,100,5,2,2,0,3,62,32,4,82,5, 
10,5,10,8,0,15,0,48,2,1,15,0,2,67,0,3,100,9,4,76,7, 
10,5,10,9,0,18,0,49,0,1,47,13,2,100,10,3,49,15,4,69,4, 
10,5,10,8,0,44,0,43,11,1,100,37,2,96,12,3,21,16,4,78,21, 
10,5,10,8,0,14,0,39,20,1,100,15,2,62,22,3,29,0,4,51,14, 
10,5,10,8,0,36,0,100,12,1,76,4,2,63,14,3,76,8,4,76,0, 
10,5,10,8,0,40,0,95,20,1,95,36,2,90,6,3,48,16,4,100,20, 
10,5,10,7,0,22,0,79,6,1,96,56,2,51,0,3,100,15,4,41,5, 
10,5,10,8,0,21,0,100,10,1,27,10,2,59,8,3,95,20,4,20,5, 
10,5,10,8,0,21,0,20,0,1,64,5,2,95,18,3,20,0,4,100,10, 
