,,,,,Turns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,53,0,79,23,1,100,35,2,54,20,3,59,7,4,85,41, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,41,0,95,24,1,85,40,2,45,12,3,100,20,4,98,17, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,50,0,51,10,1,100,59,2,64,9,3,94,30,4,82,41, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,43,0,81,21,1,72,20,2,52,8,3,100,27,4,95,28, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,49,0,90,19,1,65,26,2,100,12,3,53,49,4,48,16, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,1,22,0,50,1,1,52,3,2,100,5,3,46,9,4,40,8, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,42,0,47,20,1,75,16,2,100,2,3,42,14,4,75,11, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,28,0,51,0,1,51,8,2,100,18,3,71,15,4,30,4, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,50,0,95,22,1,97,35,2,99,22,3,100,15,4,66,15, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,1,38,0,61,24,1,43,13,2,42,19,3,100,30,4,58,20, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,37,0,100,29,1,44,13,2,33,16,3,58,29,4,87,19, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,42,0,61,26,1,88,14,2,100,40,3,82,31,4,68,15, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,0,42,0,99,11,1,100,50,2,75,37,3,62,26,4,89,14, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,50,0,74,29,1,95,34,2,100,29,3,86,31,4,98,33, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,48,0,73,36,1,97,12,2,79,36,3,100,27,4,43,22, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,38,0,70,29,1,46,29,2,88,19,3,72,30,4,100,24, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,0,43,0,86,31,1,100,25,2,45,12,3,45,21,4,45,14, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,44,0,100,37,1,91,25,2,92,25,3,70,5,4,70,20, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,37,0,100,14,1,76,17,2,49,0,3,71,22,4,91,16, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,39,0,62,23,1,100,35,2,85,27,3,74,19,4,90,23, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,53,0,100,42,1,76,27,2,64,29,3,97,31,4,80,24, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,42,0,37,26,1,59,20,2,50,0,3,64,22,4,100,25, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,43,0,34,16,1,100,26,2,42,5,3,68,5,4,48,23, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,0,44,0,76,26,1,83,32,2,94,25,3,83,38,4,100,22, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,62,0,63,37,1,66,25,2,82,16,3,100,23,4,80,20, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,34,0,85,21,1,100,31,2,89,20,3,70,21,4,60,15, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,41,0,100,15,1,64,16,2,86,30,3,57,14,4,76,5, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,12,0,39,0,74,24,1,100,15,2,82,25,3,59,18,4,52,21, ,,,,,,,,,,,,,,,,,,,,,
